hand,value,handtype,score
"('10D', '13H', '13S')",28.1,1,981312.0
"('10H', '13C', '13D')",28.1,1,981312.0
"('10H', '13C', '13H')",28.1,1,981312.0
"('10H', '13C', '13S')",28.1,1,981312.0
"('10H', '13D', '13H')",28.1,1,981312.0
"('10H', '13D', '13S')",28.1,1,981312.0
"('10H', '13H', '13S')",28.1,1,981312.0
"('10S', '13C', '13D')",28.1,1,981312.0
"('10S', '13C', '13H')",28.1,1,981312.0
"('10S', '13C', '13S')",28.1,1,981312.0
"('10S', '13D', '13H')",28.1,1,981312.0
"('10S', '13D', '13S')",28.1,1,981312.0
"('10S', '13H', '13S')",28.1,1,981312.0
"('09C', '13C', '13D')",28.09,1,980226.0
"('09C', '13C', '13H')",28.09,1,980226.0
"('09C', '13C', '13S')",28.09,1,980226.0
"('09C', '13D', '13H')",28.09,1,980226.0
"('09C', '13D', '13S')",28.09,1,980226.0
"('09C', '13H', '13S')",28.09,1,980226.0
"('09D', '13C', '13D')",28.09,1,980226.0
"('09D', '13C', '13H')",28.09,1,980226.0
"('09D', '13C', '13S')",28.09,1,980226.0
"('09D', '13D', '13H')",28.09,1,980226.0
"('09D', '13D', '13S')",28.09,1,980226.0
"('09D', '13H', '13S')",28.09,1,980226.0
"('09H', '13C', '13D')",28.09,1,980226.0
"('09H', '13C', '13H')",28.09,1,980226.0
"('09H', '13C', '13S')",28.09,1,980226.0
"('09H', '13D', '13H')",28.09,1,980226.0
"('09H', '13D', '13S')",28.09,1,980226.0
"('09H', '13H', '13S')",28.09,1,980226.0
"('09S', '13C', '13D')",28.09,1,980226.0
"('09S', '13C', '13H')",28.09,1,980226.0
"('09S', '13C', '13S')",28.09,1,980226.0
"('09S', '13D', '13H')",28.09,1,980226.0
"('09S', '13D', '13S')",28.09,1,980226.0
"('09S', '13H', '13S')",28.09,1,980226.0
"('08C', '13C', '13D')",28.08,1,979140.0
"('08C', '13C', '13H')",28.08,1,979140.0
"('08C', '13C', '13S')",28.08,1,979140.0
"('08C', '13D', '13H')",28.08,1,979140.0
"('08C', '13D', '13S')",28.08,1,979140.0
"('08C', '13H', '13S')",28.08,1,979140.0
"('08D', '13C', '13D')",28.08,1,979140.0
"('08D', '13C', '13H')",28.08,1,979140.0
"('08D', '13C', '13S')",28.08,1,979140.0
"('08D', '13D', '13H')",28.08,1,979140.0
"('08D', '13D', '13S')",28.08,1,979140.0
"('08D', '13H', '13S')",28.08,1,979140.0
"('08H', '13C', '13D')",28.08,1,979140.0
"('08H', '13C', '13H')",28.08,1,979140.0
"('08H', '13C', '13S')",28.08,1,979140.0
"('08H', '13D', '13H')",28.08,1,979140.0
"('08H', '13D', '13S')",28.08,1,979140.0
"('08H', '13H', '13S')",28.08,1,979140.0
"('08S', '13C', '13D')",28.08,1,979140.0
"('08S', '13C', '13H')",28.08,1,979140.0
"('08S', '13C', '13S')",28.08,1,979140.0
"('08S', '13D', '13H')",28.08,1,979140.0
"('08S', '13D', '13S')",28.08,1,979140.0
"('08S', '13H', '13S')",28.08,1,979140.0
"('07C', '13C', '13D')",28.07,1,978054.0
"('07C', '13C', '13H')",28.07,1,978054.0
"('07C', '13C', '13S')",28.07,1,978054.0
"('07C', '13D', '13H')",28.07,1,978054.0
"('07C', '13D', '13S')",28.07,1,978054.0
"('07C', '13H', '13S')",28.07,1,978054.0
"('07D', '13C', '13D')",28.07,1,978054.0
"('07D', '13C', '13H')",28.07,1,978054.0
"('07D', '13C', '13S')",28.07,1,978054.0
"('07D', '13D', '13H')",28.07,1,978054.0
"('07D', '13D', '13S')",28.07,1,978054.0
"('07D', '13H', '13S')",28.07,1,978054.0
"('07H', '13C', '13D')",28.07,1,978054.0
"('07H', '13C', '13H')",28.07,1,978054.0
"('07H', '13C', '13S')",28.07,1,978054.0
"('07H', '13D', '13H')",28.07,1,978054.0
"('07H', '13D', '13S')",28.07,1,978054.0
"('07H', '13H', '13S')",28.07,1,978054.0
"('07S', '13C', '13D')",28.07,1,978054.0
"('07S', '13C', '13H')",28.07,1,978054.0
"('07S', '13C', '13S')",28.07,1,978054.0
"('07S', '13D', '13H')",28.07,1,978054.0
"('07S', '13D', '13S')",28.07,1,978054.0
"('07S', '13H', '13S')",28.07,1,978054.0
"('06C', '13C', '13D')",28.06,1,976968.0
"('06C', '13C', '13H')",28.06,1,976968.0
"('06C', '13C', '13S')",28.06,1,976968.0
"('06C', '13D', '13H')",28.06,1,976968.0
"('06C', '13D', '13S')",28.06,1,976968.0
"('06C', '13H', '13S')",28.06,1,976968.0
"('06D', '13C', '13D')",28.06,1,976968.0
"('06D', '13C', '13H')",28.06,1,976968.0
"('06D', '13C', '13S')",28.06,1,976968.0
"('06D', '13D', '13H')",28.06,1,976968.0
"('06D', '13D', '13S')",28.06,1,976968.0
"('06D', '13H', '13S')",28.06,1,976968.0
"('06H', '13C', '13D')",28.06,1,976968.0
